,full_text,categoria
14,"@Avanza777 @lopezdoriga @lopezobrador_ Y este??!! jajaja todos los pinches indicadores economicos y se seguridad hacia abajo...., ojala y seas rico por que de que va ha estar mas jodido el pais , lo va estar.",apariencia
15,"@reforma2006 @Beengfui @Rodrocente212 Deberias estar agradecido tu jefe y camarilla eso son Nazis lo unico es que se les puso el simil, estan lobotomizados ustedes, por eso Mexico esta jodido por hacerle casona #epigoebbels",apariencia
16,"@HLGatell En lo que tu debes reflexionar es en que esas caracteristicas de la poblacion mexicana ya se conocian, y en que la estrategia del gobierno contra el COVID-19 ha sido un fracaso. Ya somos el 5o pais mas jodido con esto, y seguimos empeorando.",apariencia
17,"CORRECCION
Me llamo la atencion la gran cantidad de jovenes que hacian sus filas en los diferentes colegios electorales del San Judas en Naco. Para que sepan "" los popis"" de las protestas en la Plaza de la Bandera estan yendo masivamente a votar. Orgullosa de ellos. Me alegro !!",apariencia
18,"@HLGatell En lo que tu debes reflexionar es en que esas caracteristicas de la poblacion mexicana ya se conocian, y en que la estrategia del gobierno contra el COVID-19 ha sido un fracaso. Ya somos el 5o pais mas jodido con esto, y seguimos empeorando.",apariencia
19,"@HLGatell En lo que tu debes reflexionar es en que esas caracteristicas de la poblacion mexicana ya se conocian, y en que la estrategia del gobierno contra el COVID-19 ha sido un fracaso. Ya somos el 5o pais mas jodido con esto, y seguimos empeorando.",apariencia
20,"@HLGatell En lo que tu debes reflexionar es en que esas caracteristicas de la poblacion mexicana ya se conocian, y en que la estrategia del gobierno contra el COVID-19 ha sido un fracaso. Ya somos el 5o pais mas jodido con esto, y seguimos empeorando.",apariencia
21,"@HLGatell En lo que tu debes reflexionar es en que esas caracteristicas de la poblacion mexicana ya se conocian, y en que la estrategia del gobierno contra el COVID-19 ha sido un fracaso. Ya somos el 5o pais mas jodido con esto, y seguimos empeorando.",apariencia
22,"@HLGatell En lo que tu debes reflexionar es en que esas caracteristicas de la poblacion mexicana ya se conocian, y en que la estrategia del gobierno contra el COVID-19 ha sido un fracaso. Ya somos el 5o pais mas jodido con esto, y seguimos empeorando.",apariencia
23,"Jodido es la forma en que @lopezobrador_ tiene a la salud publica y a los Institutos de salud, sin insumos y medicamentos de calidad para enfrentar a la pandemia. 

Sin medicamento para los ninos con cancer. 

Eso es jodido y miserable! 

@Yoshio_Lara https://t.co/ACTzQ8rMZs https://t.co/mPHqkdDo91",apariencia
24,"@IrvingGatell Quiza con Calderon no estaba el pais tan jodido como ahora, pero tampoco dejo a Mexico como una potencia. Recuerdo la suavicrema, la guerra contra el narco, el uso descarado del deporte como cortinas de humo ademas de que no le gustaba que se hiciera comedia con su imagen.",apariencia
25,"Hoy hable con un pequeno productor de cafe de las montanas de #Lara me dijo:
Tuve que sacarle los ultimos 20 litros de #gasolina a la Toyota para con una moto subir los cambures hasta la carretera, lo peor es que por aca nadie puede salir a comprar comida, ""Estoy jodido""",apariencia
26,"Jodido es que @lopezobrador_ no tenga empatia por las personas enfermas y un minimo de sentido comun, y los deje hoy a su suerte con el COVID-19.  
@Yoshio_Lara https://t.co/BN9w0Hp7oQ https://t.co/WwEljtLwcw",apariencia
27,"Este twit demuestra 3 cosas:
1. Lo doctor no quita lo pendejo.
2. No falta el tarado que sube sus titulos nomas porque si.
3. Si tienes cara de gaznapiro y naco en las fotos de tus titulos, no las subas a redes https://t.co/ZhphqgXtr8",apariencia
28,El miercoles volvere a mi trabajo de chacha de la casa,apariencia
29,"Hoy hable con un pequeno productor de cafe de las montanas de #Lara me dijo:
Tuve que sacarle los ultimos 20 litros de #gasolina a la Toyota para con una moto subir los cambures hasta la carretera, lo peor es que por aca nadie puede salir a comprar comida, ""Estoy jodido""",apariencia
30,Lo jodido es haber esperado tanto tiempo por algo que nunca llego...,apariencia
31,"Nos piden declarar nuestros bienes, sin embargo esta es la garantia que dan sobre nuestra informacion.

?Asi o mas jodido?

https://t.co/H4Hjmg8w48",apariencia
32,"@LOVREGA Si AMLO, ya tienes harta a Vero  ?ya ves? Ya hasta te toco tu regano publico por pinche gordo, irresponsable, enfermo, sedentario y sin criterio, tambien dijo que eres el peor presidente de Mexico y que las decisiones las tomas con las patas. Aish  @lopezobrador_  no entiendes.",apariencia
33,"Porque le revienta a la Chairiza que se refieran al #Cacas como 'Lopez' si asi se apellida.... 
Se les hace muy jodido el apellido o por Lopez Portillo ??",apariencia
34,"""?Como va tu dia sin mi? ?Ya le echaste la culpa a la distancia? ?Te quedaste con ganas de decirme que me amas? ?Quisiste contarme algo y no pudiste?
No te preocupes, aqui esta igual de jodido. 
Aqui no me canso de repetir tu nombre y, absolutamente todo me recuerda a ti.""",apariencia
35,@marioduran @willpcueva Aunque usted no sentira lo jodido que es ir a un hospital y que no lo atiendan,apariencia
36,Y por si aun lo dudaban... Ser naco no tiene nada que ver con el dinero https://t.co/5ruDKlwi18,apariencia
37,@ErickRSalguero Puta maitro lo tiene jodido la florifundia.,apariencia
38,"@El_Universal_Mx De por si el servicio es malo y les quitan los equipos de computo que son igual de lentos que @lopezobrador_ en el procesamiento de informacion, esta jodido",apariencia
39,"@yoonhalsy Es lo que estan diciendo en mi tl, espero y sea mentira pq seria muy jodido",apariencia
40,"Nos piden declarar nuestros bienes, sin embargo esta es la garantia que dan sobre nuestra informacion.

?Asi o mas jodido?

https://t.co/H4Hjmg8w48",apariencia
41,"Jodido es la forma en que @lopezobrador_ tiene a la salud publica y a los Institutos de salud, sin insumos y medicamentos de calidad para enfrentar a la pandemia. 

Sin medicamento para los ninos con cancer. 

Eso es jodido y miserable! 

@Yoshio_Lara https://t.co/ACTzQ8rMZs https://t.co/mPHqkdDo91",apariencia
42,En el giveaway de @AlexaFerrari  ni con 96599544137 intentos sali ganadora jodido.,apariencia
43,"@teodostres @lalozor @NestorRinconF @jmpuentec @Robertgon14 Verga tu eres como JALISCO. Nunca pierdes, entonces todo lo de MPJ es lo + arrecho y cuando NO LO ES, lo + arrecho tambien es gracias a MPJ. Eres = q los chavistas.  El pais antes estaba jodido p/sus gobernantes y ahora esta jodido por los opositores. Asi es imposible !!!",apariencia
44,"Que naco eres dude, que penita tenerte en mi pasado",apariencia
45,"@khalilastud Tu date. Yo dire que no con el, solo con el ese pinche negro que odio",apariencia
46,@laupa1 Chacha!!!!,apariencia
47,@PaOCruzz Chacha a el le gustan las rancheras viejas ,apariencia
48,@c4jimenez @Alc_Iztapalapa @SSC_CDMX @FiscaliaCDMX ? Que se siente vestirse asi de naco ? https://t.co/yGRR9VWjfg,apariencia
49,"@elbaronnews El otro pinche indio ladino de Juarez...  
Ahhh que #Cacas pobre hombre viviendo con sus fantasmas..
Da pena de verdad...",apariencia
50,"""?Como va tu dia sin mi? ?Ya le echaste la culpa a la distancia? ?Te quedaste con ganas de decirme que me amas? ?Quisiste contarme algo y no pudiste? 
No te preocupes, aqui esta igual de jodido. 
Aqui no me canso de repetir tu nombre y, absolutamente todo me recuerda a ti.""",apariencia
51,"@HLGatell En lo que tu debes reflexionar es en que esas caracteristicas de la poblacion mexicana ya se conocian, y en que la estrategia del gobierno contra el COVID-19 ha sido un fracaso. Ya somos el 5o pais mas jodido con esto, y seguimos empeorando.",apariencia
52,"@HLGatell En lo que tu debes reflexionar es en que esas caracteristicas de la poblacion mexicana ya se conocian, y en que la estrategia del gobierno contra el COVID-19 ha sido un fracaso. Ya somos el 5o pais mas jodido con esto, y seguimos empeorando.",apariencia
53,"@HLGatell En lo que tu debes reflexionar es en que esas caracteristicas de la poblacion mexicana ya se conocian, y en que la estrategia del gobierno contra el COVID-19 ha sido un fracaso. Ya somos el 5o pais mas jodido con esto, y seguimos empeorando.",apariencia
54,"..de ser feminista, esta llena de toxicidad y banalidades y hoy alguien decidio que su ""lucha"" es superior a la de otras y con un tweet ""cancelo"" a una mujer que sufrio violencia sexual, a una mujer informada y que no merece mas que respeto como todos en este jodido mundo...",apariencia
55,Naco entero recibe a Margarita Cedeno a cacerolazos desde los edificios cuando fue a votar al Colegio San Judas Tadeo. Adentro le gritan #SeVan https://t.co/FuGPA4QQwh,apariencia
56,Sale con polish el pinche raspon..,apariencia
57,Sali jodido la ultima vez que en alguien yo confie,apariencia
58,"Jodido es dividir a los Mexicanos entre jodidos y Fifis, se les olvida que trabajan para TODOS 
@Yoshio_Lara 

#Valquirias https://t.co/OmI4lASvIT",apariencia
59,"""?Como va tu dia sin mi? ?Ya le echaste la culpa a la distancia? ?Te quedaste con ganas de decirme que me amas? ?Quisiste contarme algo y no pudiste? No te preocupes, aqui esta igual de jodido. Aqui no me canso de repetir tu nombre y, absolutamente todo me recuerda a ti.""",apariencia
60,Naco entero recibe a Margarita Cedeno a cacerolazos desde los edificios cuando fue a votar al Colegio San Judas Tadeo. Adentro le gritan #SeVan https://t.co/FuGPA4QQwh,apariencia
61,@dimitrov_sofia Que absurdo. Solo se necesita 1 y 3 monitores. Que no mame este naco,apariencia
62,"Acisclo Valladares Molina: ""mi hijo se presentara a la justicia hasta que el NUEVO SISTEMA JUDICIAL este instalado.""

Ve que viejo mas hijo de puta tan descarado. Esta gente es de lo mas podrido que tiene la sociedad guatemalteca y los mas jodido es que gobiernan.",apariencia
63,"@ConiTheBunny Es un jodido genio, porque encima hizo TODO el. Y creo que al tomar la decision de protagonizarla, puso la figura del autor en primer plano. No me cabe la menor duda que esa era justamente si intencion, y vaya si lo logro!",apariencia
64,"@HLGatell En lo que tu debes reflexionar es en que esas caracteristicas de la poblacion mexicana ya se conocian, y en que la estrategia del gobierno contra el COVID-19 ha sido un fracaso. Ya somos el 5o pais mas jodido con esto, y seguimos empeorando.",apariencia
65,"Jodido es dividir a los Mexicanos entre jodidos y Fifis, se les olvida que trabajan para TODOS 
@Yoshio_Lara 

#Valquirias https://t.co/OmI4lASvIT",apariencia
66,"@Yoshio_Lara

Jodido es, que digan que el 90% de llamadas de auxilio a mujeres son falsas [?]

#Valquirias https://t.co/Ch5BZiUEwg",apariencia
67,"@GlodeJo07 Creyeron que con eso sacarian al PRI de la jugada, pero si mezclan todos colores de su logo da el tono jodido de morena",apariencia
68,"Jodido es que @lopezobrador_ no tenga empatia por las personas enfermas y un minimo de sentido comun, y los deje hoy a su suerte con el COVID-19.  
@Yoshio_Lara https://t.co/BN9w0Hp7oQ https://t.co/WwEljtLwcw",apariencia
69,Pero cuando estaba....jodido donde estabas?,apariencia
70,"@Yoshio_Lara

Jodido no solo es que gobiernen mal, sino que quieran acabar con la libre expresion, que nos quieran ver la cara de todas sus tranzas como lo de jovenes destruyendo el futuro, por ejemplo 

#Valquirias https://t.co/nAo2QYznpU",apariencia
71,"Jodido es que asi consideres a los que confiaron en uds.
#Valquirias https://t.co/FswDZVpM0F",apariencia
72,"Jodido es dividir a los Mexicanos entre jodidos y Fifis, se les olvida que trabajan para TODOS 
@Yoshio_Lara 

#Valquirias https://t.co/OmI4lASvIT",apariencia
73,"#Jodido es que le quiten el tratamiento a los ninos con cancer.
@Yoshio_Lara 
#Valquirias https://t.co/pREvQFJjC0",apariencia
74,"Jodido es dividir a los Mexicanos entre jodidos y Fifis, se les olvida que trabajan para TODOS 
@Yoshio_Lara 

#Valquirias https://t.co/OmI4lASvIT",apariencia
75,"@Yoshio_Lara

Jodido no solo es que gobiernen mal, sino que quieran acabar con la libre expresion, que nos quieran ver la cara de todas sus tranzas como lo de jovenes destruyendo el futuro, por ejemplo 

#Valquirias https://t.co/nAo2QYznpU",apariencia
76,"@Yoshio_Lara

Jodido es, que digan que el 90% de llamadas de auxilio a mujeres son falsas [?]

#Valquirias https://t.co/Ch5BZiUEwg",apariencia
77,"Jodido es dividir a los Mexicanos entre jodidos y Fifis, se les olvida que trabajan para TODOS 
@Yoshio_Lara 

#Valquirias https://t.co/OmI4lASvIT",apariencia
78,"Jodido es que @lopezobrador_ no tenga empatia por las personas enfermas y un minimo de sentido comun, y los deje hoy a su suerte con el COVID-19.  
@Yoshio_Lara https://t.co/BN9w0Hp7oQ https://t.co/WwEljtLwcw",apariencia
79,"Nos piden declarar nuestros bienes, sin embargo esta es la garantia que dan sobre nuestra informacion.

?Asi o mas jodido?

https://t.co/H4Hjmg8w48",apariencia
80,Sali jodido la ultima vez que en alguien yo confie,apariencia
81,"Jodido es que @lopezobrador_ no tenga empatia por las personas enfermas y un minimo de sentido comun, y los deje hoy a su suerte con el COVID-19.  
@Yoshio_Lara https://t.co/BN9w0Hp7oQ https://t.co/WwEljtLwcw",apariencia
82,@AleBaezMD @ListinDiario @PeriodicoHoy @DiarioLibre Esto esta jodido... estamos para atras!!!!,apariencia
83,"Jodido es que @lopezobrador_ no tenga empatia por las personas enfermas y un minimo de sentido comun, y los deje hoy a su suerte con el COVID-19.  
@Yoshio_Lara https://t.co/BN9w0Hp7oQ https://t.co/WwEljtLwcw",apariencia
84,Uuuuhjjj me recuerda ami infancia cuando estaba en el quinder y ise una obra jaaaaaaaaaaaa que risa cepillin con tus payasadas eres un naco y estupido,apariencia
85,"#RenunciaGatell eres un jodido imbecil, palero corrupto https://t.co/EJaiHaRg1j",apariencia
86,Pero me encuentro a puro jodido jajajajajajajajaja https://t.co/ATgP9ZlHzh,apariencia
87,"Jodido es que @lopezobrador_ no tenga empatia por las personas enfermas y un minimo de sentido comun, y los deje hoy a su suerte con el COVID-19.  
@Yoshio_Lara https://t.co/BN9w0Hp7oQ https://t.co/WwEljtLwcw",apariencia
88,"@GerardoLopezA10 @PRIETA_CHAIRA @malakeshi @Alejand53827698 @diego_otz El puro mec0 de naco, y lo hace de atras tiempo...",apariencia
89,"@alvarorafacas @taller2006 ""bots""[?] jajajaja estas de la cona. Y seguidores? A mi no me interesa tener seguidores. Al menos yo si estudie, tu ni preescolar ha de tener, pinche pobre :3",apariencia
90,"Siempre se me ha hecho super naco ver fotos de personas con la bandera de su pais en una zona turistica de algun lugar del mundo, ?Poooooor?",apariencia
91,"@AletHBas @Yoshio_Lara Jodido es el pueblo que @lopezobrador_ dana dejandolo sin empleo, gracias a que llevo a la economia a Recesion. 

Gracias a que no quiso apoyar a los que generan el empleo. 

Hoy tenemos 12 millones de hogares sin un sustento. 

Eso es jodido no crees @Yoshio_Lara ?",apariencia
92,pensandolo friamente es super jodido como de normalizado tenemos darle a ninos pequenos sustancias como el metilfenidato como si no tuviera ninguns consecuencia en su crecimiento,apariencia
93,"Una cosa es imaginarse que alguien esta jodido y otra vivirlo de cerquita. Cobraste tu quincena y pudiste resolver para dos dias la papa, los otros dias tienes que ingeniartelas.
Eso genera un nivel de estres y ansiedad brutal. Como hago ? Es la eterna pregunta.",apariencia
94,"Jodido es la forma en que @lopezobrador_ tiene a la salud publica y a los Institutos de salud, sin insumos y medicamentos de calidad para enfrentar a la pandemia. 

Sin medicamento para los ninos con cancer. 

Eso es jodido y miserable! 

@Yoshio_Lara https://t.co/ACTzQ8rMZs https://t.co/mPHqkdDo91",apariencia
95,"@TaToGallegs @ma_golondrina @patriciagongue @MarquitooSays @jazmolina_ @Roberto20509845 @wooowbuzii @PacoDeMiguelF @lopezobrador_ Pues como licenciado en finanzas estas jodido. 
Jajaja las perdidas en CFE estan relacionadas con la depreciacion del peso.",apariencia
96,"Ay Julian Por favor, no vamos a ser parte de esa cultura machista que humilla a las mujeres por tener vida sexual activa, naco.",apariencia
97,"Jodido es que @lopezobrador_ no tenga empatia por las personas enfermas y un minimo de sentido comun, y los deje hoy a su suerte con el COVID-19.  
@Yoshio_Lara https://t.co/BN9w0Hp7oQ https://t.co/WwEljtLwcw",apariencia
98,"@Forbes_Mexico @lopezobrador_ siempre imbecil siempre inutil siempre inepto...
En lugar de comparar cifras del mes anterior vs el presente para demostrar el control tratas de crear una comparacion con el mundo y eso sera tu tumba al igual que la de tu jodido proyecto y asquerosa familia",apariencia
99,@JScherer_Ibarra Mexico esta jodido. Punto,apariencia
100,"Jodido es que @lopezobrador_ no tenga empatia por las personas enfermas y un minimo de sentido comun, y los deje hoy a su suerte con el COVID-19.  
@Yoshio_Lara https://t.co/BN9w0Hp7oQ https://t.co/WwEljtLwcw",apariencia
101,"@HLGatell En lo que tu debes reflexionar es en que esas caracteristicas de la poblacion mexicana ya se conocian, y en que la estrategia del gobierno contra el COVID-19 ha sido un fracaso. Ya somos el 5o pais mas jodido con esto, y seguimos empeorando.",apariencia
102,"@nogard @INEMexico Creo que lo jodido es tu nivel argumental, el requerimiento no esta basado en el precio sino en la especificacion.",apariencia
103,Comprobado que ni con todo el dinero del mundo se te quita lo naco ,apariencia
104,Pinchi @lopezobrador_ me caes en los huevos eres un naco y estupido,apariencia
105,Y se confirma que lo naco no tiene NADA que ver con cuanto $ tienes https://t.co/kjmQSfoZJh,apariencia
106,"Jodido es dividir a los Mexicanos entre jodidos y Fifis, se les olvida que trabajan para TODOS 
@Yoshio_Lara 

#Valquirias https://t.co/OmI4lASvIT",apariencia
107,"@HLGatell En lo que tu debes reflexionar es en que esas caracteristicas de la poblacion mexicana ya se conocian, y en que la estrategia del gobierno contra el COVID-19 ha sido un fracaso. Ya somos el 5o pais mas jodido con esto, y seguimos empeorando.",apariencia
108,"@ramonhecto Ah jodido te sirve banarte,  debes de hacerlo mas seguido",apariencia
109,"Jodido es dividir a los Mexicanos entre jodidos y Fifis, se les olvida que trabajan para TODOS 
@Yoshio_Lara 

#Valquirias https://t.co/OmI4lASvIT",apariencia
110,"Jodido es la forma en que @lopezobrador_ tiene a la salud publica y a los Institutos de salud, sin insumos y medicamentos de calidad para enfrentar a la pandemia. 

Sin medicamento para los ninos con cancer. 

Eso es jodido y miserable! 

@Yoshio_Lara https://t.co/ACTzQ8rMZs https://t.co/mPHqkdDo91",apariencia
111,"El ""Tano"" Angel del local del PRO de Ritondo de Alberdi y Montiel ..fanatico de Macri ..le explicaban que es jodido el virus , pero no le ""entraban balas"", la ignorancia tambien mata[?] https://t.co/PWsMQYrx1s",apariencia
112,"@VickyDavilaH otra vez vieja triplehijueputa enredada y metida hasta el cuello con narcotraficantes, paracos y corruptos y tus hijos igual (denunciame nojoda).
Si estamos peor que Venezuela con esa mafia a la que perteneces en el poder que nos tiene jodido y el pais vuelto mierda https://t.co/6RgXCTeA1p",apariencia
113,"Nos piden declarar nuestros bienes, sin embargo esta es la garantia que dan sobre nuestra informacion.

?Asi o mas jodido?

https://t.co/H4Hjmg8w48",apariencia
114,"@AletHBas @Yoshio_Lara Jodido es el pueblo que @lopezobrador_ dana dejandolo sin empleo, gracias a que llevo a la economia a Recesion. 

Gracias a que no quiso apoyar a los que generan el empleo. 

Hoy tenemos 12 millones de hogares sin un sustento. 

Eso es jodido no crees @Yoshio_Lara ?",apariencia
115,"aca mi respuesta al pq no me gusta salir, si gente, el autoestima es super jodido y m hace antisocial:( https://t.co/2dFIllUwdM",apariencia
116,Naco entero recibe a Margarita Cedeno a cacerolazos desde los edificios cuando fue a votar al Colegio San Judas Tadeo. Adentro le gritan #SeVan https://t.co/FuGPA4QQwh,apariencia
117,"Jodido es la forma en que @lopezobrador_ tiene a la salud publica y a los Institutos de salud, sin insumos y medicamentos de calidad para enfrentar a la pandemia. 

Sin medicamento para los ninos con cancer. 

Eso es jodido y miserable! 

@Yoshio_Lara https://t.co/ACTzQ8rMZs https://t.co/mPHqkdDo91",apariencia
118,"Es fuego amigo, bastante jodido esta Barto como para no salir a decir esto. Tenemos que apoyarlo para que su delfin sea elegido presidente. https://t.co/3wRDC5jx0l",apariencia
119,"@Yoshio_Lara No soy bot y soy fan de Pena Nieto.

Y bueno, tambien de Calderon.

Jodido tienes el intelecto ! Imaginate de seguir asi, para donde vas [?] https://t.co/mJcEnLQmew",apariencia
120,"Jodido es la forma en que @lopezobrador_ tiene a la salud publica y a los Institutos de salud, sin insumos y medicamentos de calidad para enfrentar a la pandemia. 

Sin medicamento para los ninos con cancer. 

Eso es jodido y miserable! 

@Yoshio_Lara https://t.co/ACTzQ8rMZs https://t.co/mPHqkdDo91",apariencia
121,"Jodido es la forma en que @lopezobrador_ tiene a la salud publica y a los Institutos de salud, sin insumos y medicamentos de calidad para enfrentar a la pandemia. 

Sin medicamento para los ninos con cancer. 

Eso es jodido y miserable! 

@Yoshio_Lara https://t.co/ACTzQ8rMZs https://t.co/mPHqkdDo91",apariencia
122,"@HLGatell En lo que tu debes reflexionar es en que esas caracteristicas de la poblacion mexicana ya se conocian, y en que la estrategia del gobierno contra el COVID-19 ha sido un fracaso. Ya somos el 5o pais mas jodido con esto, y seguimos empeorando.",apariencia
123,@AndreaaCoronad @vanessaagzz Es naco que llamen fuckboy y esas weas xD,apariencia
124,"@NaoPanRG @Agustnlux2 @AxlLynx @GlassMoon67 @labananasad Igual el video es lo mas jodido pero todo lo demas es claro que es una falsa, el link, el Photoshop que dijo que estaba desinstalarlo pero estaba alli puesto, las imagenes editadas del otro chico, osea esta claro que miente (hasta ciento punto)",apariencia
125,"Me di cuenta que este ano iba a estar jodido cuando en la fiesta de ano nuevo Trunks le dijo esto a Krillin.
Un poquito tarde pero me vale verga, mi Twitter mi puta decision de subir lo que quiera cuando quiera. https://t.co/aQaoe8jBNo",apariencia
126,"Una cosa es imaginarse que alguien esta jodido y otra vivirlo de cerquita. Cobraste tu quincena y pudiste resolver para dos dias la papa, los otros dias tienes que ingeniartelas.
Eso genera un nivel de estres y ansiedad brutal. Como hago ? Es la eterna pregunta.",apariencia
127,"@Yoshio_Lara Estar jodido no solo es x falta de dinero, creo que tambien por escasez de interneuronas. Y me parece que si estabas jodido desde peque, la mala noticia para ti seria que lo sigues hasta la fecha [?]",apariencia
128,"Nos piden declarar nuestros bienes, sin embargo esta es la garantia que dan sobre nuestra informacion.

?Asi o mas jodido?

https://t.co/H4Hjmg8w48",apariencia
129,"Jodido es que @lopezobrador_ no tenga empatia por las personas enfermas y un minimo de sentido comun, y los deje hoy a su suerte con el COVID-19.  
@Yoshio_Lara https://t.co/BN9w0Hp7oQ https://t.co/WwEljtLwcw",apariencia
130,"Jodido es que @lopezobrador_ no tenga empatia por las personas enfermas y un minimo de sentido comun, y los deje hoy a su suerte con el COVID-19.  
@Yoshio_Lara https://t.co/BN9w0Hp7oQ https://t.co/WwEljtLwcw",apariencia
131,@Revista_R @reformanacional Entre tanta pinche chacha tranza no iban a tardar en sacarse los ojos dentro de MIERDENA al ver varo. #ElCacas dijo -Yo y mi prole ya chingamos-,apariencia
132,"Jodido es que @lopezobrador_ no tenga empatia por las personas enfermas y un minimo de sentido comun, y los deje hoy a su suerte con el COVID-19.  
@Yoshio_Lara https://t.co/BN9w0Hp7oQ https://t.co/WwEljtLwcw",apariencia
133,@Yoshio_Lara No exactamente pero yo creo supera al promedio. En ultima instancia no puedes ni debes victimizarte como jodido ni del lado de los jodidos!,apariencia
134,Siempre que hago comida hindu termino bien jodido de la nariz como por lo que queda del dia,apariencia
135,@kleber_vidales Callate sorro d mierda me cagas eres un naco y estupido,apariencia
136,"@muralcom @lopezobrador_ @lopezobrador_ siempre imbecil siempre inutil siempre inepto...
En lugar de comparar cifras del mes anterior vs el presente para demostrar el control tratas de crear una comparacion con el mundo y eso sera tu tumba al igual que la de tu jodido proyecto y asquerosa familia",apariencia
137,Uuuuhjjj me recuerda ami infancia cuando estaba en el quinder y ise una obra jaaaaaaaaaaaa que risa cepillin con tus payasadas eres un naco y estupido,apariencia
138,"""Pinche indio; no seas indio""son insultos que llevan consigo el discurso de inferioridad fenotipica, cultural, productiva y gubernativa de los pueblos indigenas. No se rechaza solo el color de piel:se devalua y humilla su modo total de vida. Es el eco de la mirada colonial.Hilo https://t.co/ImcmYHpt60",apariencia
139,"Jodido es que @lopezobrador_ no tenga empatia por las personas enfermas y un minimo de sentido comun, y los deje hoy a su suerte con el COVID-19.  
@Yoshio_Lara https://t.co/BN9w0Hp7oQ https://t.co/WwEljtLwcw",apariencia
140,"Una cosa es imaginarse que alguien esta jodido y otra vivirlo de cerquita. Cobraste tu quincena y pudiste resolver para dos dias la papa, los otros dias tienes que ingeniartelas.
Eso genera un nivel de estres y ansiedad brutal. Como hago ? Es la eterna pregunta.",apariencia
141,"""Nadamas ven un guerito y se alborotan, No sean nacas""  -Yo a mis hormonas.",apariencia
142,@Yoshio_Lara No puedes presumir humildad en un partido que ha perdido credibilidad ! Quien dice ser humilde ha perdido la humildad. Empezando por tu sueldo que no es del promedio de ingreso! Mejor no presumas de jodido. No somos bots ni calderonistas sino ciudadanos que no se tragan mentiras!,apariencia
143,"Jodido es que @lopezobrador_ no tenga empatia por las personas enfermas y un minimo de sentido comun, y los deje hoy a su suerte con el COVID-19.  
@Yoshio_Lara https://t.co/BN9w0Hp7oQ https://t.co/WwEljtLwcw",apariencia
144,"@VickyDavilaH otra vez vieja triplehijueputa enredada y metida hasta el cuello con narcotraficantes, paracos y corruptos y tus hijos igual (denunciame nojoda).
Si estamos peor que Venezuela con esa mafia a la que perteneces en el poder que nos tiene jodido y el pais vuelto mierda https://t.co/6RgXCTeA1p",apariencia
145,"@yeidckol @lopezobrador_ Pobre infeliz, torpe, inculto, analfabeta, naco, gato, improvisado, bocon, tapete... CORRUPTO moreNACO @M_OlgaSCordero @m_ebrard @nahle https://t.co/spKOgCJm0I",apariencia
